athlete_id,event_id,ranking
1574,25,NULL
1574,28,NULL
1575,93,1
1577,117,NULL
1578,11,NULL
1578,13,NULL
1579,108,NULL
1579,105,NULL
1580,12,NULL
1580,14,NULL
1581,56,NULL
1582,54,1
1583,79,NULL
1584,117,NULL
1587,12,NULL
1587,14,NULL
1589,11,NULL
1589,13,NULL
1590,30,NULL
1590,27,NULL
1591,69,NULL
1592,103,NULL
1592,107,NULL
1594,47,NULL
1594,49,NULL
1595,40,NULL
1596,71,NULL
1598,30,NULL
1598,26,NULL
1598,27,NULL
1599,82,NULL
1599,86,NULL
1601,113,3
1601,102,3
1601,115,NULL
1602,103,NULL
1602,114,NULL
1605,97,NULL
1606,29,NULL
1608,63,NULL
1609,11,NULL
1609,13,NULL
1609,15,NULL
1610,104,NULL
1610,115,3
1613,92,NULL
1615,117,NULL
1616,29,NULL
1616,28,NULL
1617,12,NULL
1619,92,NULL
1622,56,NULL
1624,117,NULL
1626,40,NULL
1629,15,NULL
1629,91,NULL
1630,29,NULL
1632,83,NULL
1633,82,3
1635,92,NULL
1636,96,NULL
1639,30,NULL
1639,26,NULL
1639,27,NULL
1641,28,NULL
1642,118,NULL
1644,56,NULL
1646,15,NULL
1646,91,NULL
1648,82,NULL
1650,82,NULL
1650,86,NULL
1652,15,NULL
1652,91,NULL
1653,69,NULL
1655,114,NULL
1656,29,NULL
1656,28,NULL
1657,59,NULL
1658,28,NULL
1659,12,NULL
1659,14,NULL
1659,16,NULL
1661,6,3
1663,29,NULL
1663,28,NULL
1664,98,NULL
1665,56,NULL
1666,12,NULL
1666,14,NULL
1667,15,NULL
1667,91,NULL
1669,53,NULL
1670,12,NULL
1670,14,NULL
1675,120,NULL
1676,21,1
1677,12,NULL
1679,108,NULL
1679,105,NULL
1682,14,2
1684,48,NULL
1684,50,NULL
1685,117,NULL
1686,30,NULL
1686,26,NULL
1687,93,NULL
1690,41,NULL
1691,13,NULL
1691,15,NULL
1692,108,NULL
1692,105,NULL
1693,29,NULL
1693,25,NULL
1694,83,NULL
1694,85,NULL
